,comment_count,dislike_count,duration,like_count,live,title,view_count,publish_hour,publish_day,publish_month,publish_date,days_after_last_video,title_length,description_length,tag_count
1396,87,20,278,75,0,Firefox 4 Beta Hands On,57156,23,4,7,2010-07-02,0,23,971,8
1395,39,13,155,20,0,Motorola Charm First Look,12377,22,5,7,2010-07-03,1,25,572,7
1394,20,8,193,22,0,YouTube Leanback Tour,5244,19,1,7,2010-07-06,3,21,796,4
1393,22,7,90,25,0,iDetector: Does Your iPhone 3GS Have a New or Old Bootrom?,24582,1,2,7,2010-07-07,1,58,276,7
1392,82,4,464,33,0,"Jailbreak Your iPhone 3GS, iPhone 3G and iPod touch 2G on iOS 4 Using sn0wbreeze 1.7",22164,18,2,7,2010-07-07,0,84,986,12
1391,197,173,672,132,0,D3Live: iPod touch 4G Rundown,122673,0,3,7,2010-07-08,1,29,837,8
1390,470,677,480,1658,0,Starting on YouTube: Creating Your Channel,202085,23,3,7,2010-07-08,0,42,642,7
1389,72,11,233,60,0,"State of Jailbreak: iPhone 4, iPhone 3GS and iPod touch 3G on iOS 4.0",30407,0,4,7,2010-07-09,1,69,1034,10
1388,38,20,195,35,0,Breaking: iOS 4.1 and iPhone 4 Press Conference,21285,23,5,7,2010-07-10,1,47,587,8
1387,66,10,254,46,0,State of Jailbreak: iOS 4.0.1 for iPhone and 3.2.1 for iPad,48540,22,0,7,2010-07-12,2,59,1043,12
1386,34,8,348,19,0,D3Live: iPhone 4 Press Conference,6922,18,1,7,2010-07-13,1,33,1007,10
1384,183,30,528,584,0,Starting on YouTube: Dos and Don'ts and Equipment,43235,21,3,7,2010-07-15,2,49,879,11
1385,70,37,57,124,0,Evolution of Game Boy,19024,1,3,7,2010-07-15,0,21,285,5
1383,655,231,95,2052,0,Use Your Headphones as a Microphone,273253,19,4,7,2010-07-16,1,35,320,5
1382,29,6,152,21,0,HP Slate 500 Coming Soon?,16371,16,6,7,2010-07-18,2,25,699,5
1381,57,5,233,56,0,Grooveshark Review: Better Than Pandora?,16889,17,0,7,2010-07-19,1,40,378,5
1380,50,28,141,42,0,Halo: Reach Xbox 360 Bundle and StarCraft 2 Download,25711,19,1,7,2010-07-20,1,52,793,9
1379,415,114,421,1658,0,Starting on YouTube: Windows Video Editing Programs,354599,1,2,7,2010-07-21,1,51,705,14
1378,9,6,61,34,0,Starting on YouTube: Mac and Windows Video Editing Programs,10684,20,3,7,2010-07-22,1,59,98,12
1376,31,10,189,30,0,Landscape Springboard Coming to iPhone and iPod touch in iOS 4.1?,11575,18,0,7,2010-07-26,4,65,303,8
1375,426,22,164,180,0,"Jailbreak Your iPhone 4, iPod touch 3G and iPad on iOS 4.0 Using JailbreakMe",133470,18,0,7,2010-07-26,0,76,758,14
1373,43,2,149,56,0,How To Remove the Gray Autoplay Subscription Bar,3370,22,6,8,2010-08-01,6,48,484,8
1374,630,45,275,687,0,Enable Homescreen Wallpaper and Multitasking on iPhone 3G and iPod touch 2G on iOS 4.0,215519,18,6,8,2010-08-01,0,86,443,11
1372,14,3,164,23,0,BlackBerry Torch First Look,4532,1,0,8,2010-08-02,1,27,701,5
1370,65,22,285,41,0,"iPad Mini, iPod Shuffle 4G: September 2010 Apple Event Rumors",25508,17,1,8,2010-08-03,1,61,521,11
1369,26,7,261,25,0,Boqari Q1M Headphones Review,4998,20,1,8,2010-08-03,0,28,309,6
1371,19,0,177,32,0,"How to Fix the PDF Exploit in the iPhone, iPod touch and iPad",3388,3,1,8,2010-08-03,0,61,283,12
1368,30,2,125,25,0,Sonic the Hedgehog for Sega Genesis Review,1744,18,2,8,2010-08-04,1,42,353,6
1367,55,43,330,48,0,Motorola Droid 2 vs Samsung Epic 4G vs myTouch 3G Slide,37659,20,3,8,2010-08-05,1,55,696,12
